node_id,law_id,article,law_name,sector,out_degree,in_degree,out_weight,in_weight,unique_laws_cited,unique_laws_citing,pagerank,betweenness
constitucion-politica::?,constitucion-politica,?,Constitución Política de los Estados Unidos Mexicanos,constitucional,0,288,0,288,0,56,0.09057696,0.0
ley-federal-competencia-economica::?,ley-federal-competencia-economica,?,Ley Federal de Competencia Económica,competencia,0,179,0,278,0,59,0.03805484,0.0
ley-general-sociedades-mercantiles::?,ley-general-sociedades-mercantiles,?,Ley General de Sociedades Mercantiles,mercantil,0,134,0,246,0,47,0.02667788,0.0
codigo-nacional-procedimientos-penales::?,codigo-nacional-procedimientos-penales,?,Código Nacional de Procedimientos Penales,penal,0,95,0,99,0,31,0.0230245,0.0
ley-isr::?,ley-isr,?,Ley del Impuesto sobre la Renta,fiscal,0,63,0,94,0,8,0.01694948,0.0
lfpa::?,lfpa,?,Ley Federal de Procedimiento Administrativo,administrativo,0,51,0,51,0,22,0.01330501,0.0
ley-pemex::?,ley-pemex,?,Ley de Petróleos Mexicanos,energia,0,73,0,130,0,49,0.01104219,0.0
constitucion-politica::89,constitucion-politica,89,Constitución Política de los Estados Unidos Mexicanos,constitucional,0,77,0,77,0,70,0.01031696,0.0
ley-responsabilidades-administrativas::?,ley-responsabilidades-administrativas,?,Ley General de Responsabilidades Administrativas,anticorrupcion,0,38,0,42,0,13,0.00904458,0.0
ley-general-salud::?,ley-general-salud,?,Ley General de Salud,salud,0,48,0,53,0,24,0.00894939,0.0
lfda::?,lfda,?,Ley Federal del Derecho de Autor,propiedad-intelectual,0,44,0,49,0,18,0.00881282,0.0
ley-federal-anticorrupcion::?,ley-federal-anticorrupcion,?,Ley General del Sistema Nacional Anticorrupción,anticorrupcion,0,41,0,50,0,24,0.00871012,0.0
ley-general-educacion::?,ley-general-educacion,?,Ley General de Educación,educacion,0,46,0,55,0,25,0.00786632,0.0
loapf::?,loapf,?,Ley Orgánica de la Administración Pública Federal,administrativo,0,43,0,48,0,32,0.00768032,0.0
lgipe::?,lgipe,?,Ley General de Instituciones y Procedimientos Electorales,electoral,0,48,0,51,0,25,0.0074502,0.0
ley-federal-del-trabajo::?,ley-federal-del-trabajo,?,Ley Federal del Trabajo,trabajo,0,39,0,61,0,26,0.00721787,0.0
ley-mercado-valores::?,ley-mercado-valores,?,Ley del Mercado de Valores,financiero,0,28,0,32,0,6,0.00679493,0.0
lgtaip::?,lgtaip,?,Ley General de Transparencia y Acceso a la Información Pública,transparencia,0,30,0,34,0,23,0.00630707,0.0
lgeepa::?,lgeepa,?,Ley General del Equilibrio Ecológico y la Protección al Ambiente,ambiental,0,31,0,34,0,12,0.00582856,0.0
constitucion-politica::22,constitucion-politica,22,Constitución Política de los Estados Unidos Mexicanos,constitucional,0,16,0,16,0,3,0.00533412,0.0
constitucion-politica::27,constitucion-politica,27,Constitución Política de los Estados Unidos Mexicanos,constitucional,0,19,0,19,0,10,0.00529906,0.0
constitucion-politica::123,constitucion-politica,123,Constitución Política de los Estados Unidos Mexicanos,constitucional,0,22,0,22,0,19,0.00508865,0.0
lopjf::?,lopjf,?,Ley Orgánica del Poder Judicial de la Federación,judicial,0,31,0,36,0,20,0.00506313,0.0
ley-instituciones-credito::?,ley-instituciones-credito,?,Ley de Instituciones de Crédito,financiero,0,29,0,42,0,17,0.00441906,0.0
ley-prevencion-lavado-dinero::?,ley-prevencion-lavado-dinero,?,Ley Federal para la Prevención e Identificación de Operaciones con Recursos de Procedencia Ilícita,financiero,0,32,0,34,0,21,0.00414315,0.0
constitucion-politica::105,constitucion-politica,105,Constitución Política de los Estados Unidos Mexicanos,constitucional,0,11,0,11,0,5,0.00375503,0.0
ley-fintech::?,ley-fintech,?,Ley para Regular las Instituciones de Tecnología Financiera,financiero,0,22,0,24,0,10,0.00372943,0.0
codigo-federal-procedimientos-civiles::?,codigo-federal-procedimientos-civiles,?,Código Federal de Procedimientos Civiles,civil,0,16,0,17,0,9,0.00356999,0.0
codigo-penal-federal::?,codigo-penal-federal,?,Código Penal Federal,penal,0,10,0,10,0,10,0.00356907,0.0
ley-ieps::?,ley-ieps,?,Ley del Impuesto Especial sobre Producción y Servicios,fiscal,0,19,0,19,0,6,0.00309899,0.0
ley-inmigracion::?,ley-inmigracion,?,Ley de Migración,migracion,0,18,0,24,0,12,0.00302899,0.0
constitucion-politica::21,constitucion-politica,21,Constitución Política de los Estados Unidos Mexicanos,constitucional,0,9,0,9,0,8,0.00298461,0.0
ley-del-infonavit::?,ley-del-infonavit,?,Ley del Instituto del Fondo Nacional de la Vivienda para los Trabajadores,vivienda,0,19,0,21,0,15,0.00294695,0.0
ley-iva::?,ley-iva,?,Ley del Impuesto al Valor Agregado,fiscal,0,24,0,24,0,14,0.00278917,0.0
codigo-fiscal-federacion::?,codigo-fiscal-federacion,?,Código Fiscal de la Federación,fiscal,0,13,0,16,0,9,0.00270325,0.0
lftr::?,lftr,?,Ley Federal de Telecomunicaciones y Radiodifusión,telecomunicaciones,0,27,0,33,0,23,0.00262394,0.0
