ley_a,ley_a_nombre,ley_a_corta,ley_b,ley_b_nombre,ley_b_corta,sector_a,sector_b,mismo_sector,citas_a_a_b,citas_b_a_a,textos_a_cita_b,textos_b_cita_a
constitucion-politica-de-los-estados-unidos-mexicanos,CONSTITUCIÓN Política de los Estados Unidos Mexicanos,CPEUM,ley-general-de-instituciones-y-procedimientos-electorales,LEY General de Instituciones y Procedimientos Electorales,LGIPE,constitucional,electoral,False,3,84,"[Art.6o · medium · direct_mention] procedimientos de revisión contra los actos que emitan los sujetos obligados. Párrafo reformado DOF 20-12-2024  Los sujetos obligados se regirán por la ley general en materia de transparencia y acceso a la información pública y protección de datos personales, en los términos que ésta se emita por el ||| [Art.73 · medium · direct_mention] arada por el Presidente de la República en los términos del artículo 29.  2o. Aprobar anualmente los montos de endeudamiento que deberán incluirse en la ley de ingresos, que en su caso requiera el Gobierno del Distrito Federal y las entidades de su sector público, conforme a las bases de la ley corr ||| [Art.73 · medium · direct_mention] e Detenciones; Fracción derogada DOF 06-12-1977. Adicionada DOF 31-12-1994. Reformada DOF 18-06-2008, 29-01-2016, 26-03-2019  XXIII Bis. Para expedir la ley general en materia de seguridad privada, que establezca:  a)	Las reglas y la autoridad facultada para autorizar y regular a los prestadores de ","[Art.3 · high · constitucion_full] to establece la presente Ley;  d) Ciudadanos o Ciudadanas: Las personas que teniendo la calidad de mexicanas reúnan los requisitos determinados en el artículo 34 de la Constitución Política de los Estados Unidos Mexicanos; Inciso reformado DOF 13-04-2020  d bis) [Paridad de género: Igualdad política ||| [Art.126 · high · articulo_constitucional] da DOF 24-11-2023  2. El Registro Federal de Electores es de carácter permanente y de interés público. Tiene por objeto cumplir con lo previsto en el artículo 41 constitucional sobre el Padrón Electoral.  3. Los documentos, datos e informes que los ciudadanos proporcionen al Registro Federal de Elec ||| [Art.202 · high · articulo_constitucional] organización y funcionamiento y aplicará los distintos mecanismos de este Servicio de conformidad con lo dispuesto en el Apartado D de la Base V del artículo 41 constitucional.  3. Los cuerpos de la función ejecutiva proveerán el personal para cubrir los cargos con atribuciones de dirección, de mand"
codigo-fiscal-de-la-federacion,CÓDIGO Fiscal de la Federación,CFF,ley-del-impuesto-sobre-la-renta,LEY del Impuesto sobre la Renta,LISR,fiscal,fiscal,True,59,12,"[Art.14-B · high · en_los_terminos] itos establecidos en la fracción XXIII del artículo 93 de la Ley del Impuesto sobre la Renta.  No será aplicable lo dispuesto en este artículo cuando en los términos de la Ley del Impuesto sobre la Renta se le otorgue a la escisión el tratamiento de reducción de capital.  Tampoco será aplicable lo d ||| [Art.30 · high · en_los_terminos] r el aumento o la disminución del capital social, la fusión o la escisión de sociedades, de las constancias que emitan o reciban las personas morales en los términos de la Ley del Impuesto sobre la Renta al distribuir dividendos o utilidades, de la documentación e información necesaria para determin ||| [Art.58 · high · a_que_refiere] Artículo 58. Las autoridades fiscales, para determinar presuntivamente la utilidad fiscal de los contribuyentes a que se refiere la Ley del Impuesto sobre la Renta, podrán aplicar a los ingresos brutos declarados o determinados presuntivamente, el coeficiente de 20% o el que corresponda tratándose d","[Art.12 · high · establecida_en] sición de las autoridades fiscales la documentación comprobatoria relacionada con el pago del impuesto por cuenta del contribuyente, durante el plazo establecido en el Código Fiscal de la Federación, contado a partir del día siguiente a aquél en que se hubiere presentado la declaración.  El represen ||| [Art.55 · high · lo_previsto] orme al artículo 134 de esta Ley, y las retenciones efectuadas, correspondientes al ejercicio inmediato anterior.  III.	Conservar, de conformidad con lo previsto en el Código Fiscal de la Federación, la información relacionada con los comprobantes fiscales y las retenciones de este impuesto.  IV.	Pr ||| [Art.76 · high · conformidad] señalados en este Título, además de las obligaciones establecidas en otros artículos de esta Ley, tendrán las siguientes:  I.	Llevar la contabilidad de conformidad con el Código Fiscal de la Federación, su Reglamento y el Reglamento de esta Ley, y efectuar los registros en la misma.  II.	Expedir los"
ley-del-mercado-de-valores,LEY del Mercado de Valores,LMV,ley-general-de-sociedades-mercantiles,LEY General de Sociedades Mercantiles,LGSM,financiero,mercantil,False,50,2,"[Art.12 · high · senalada_en] cha modalidad, observando para ello las disposiciones especiales que se contienen en el presente ordenamiento legal y, en lo no previsto por éste, lo señalado en la Ley General de Sociedades Mercantiles.  Las sociedades anónimas que una vez constituidas pretendan adoptar la modalidad a que se refier ||| [Art.13 · high · lo_dispuesto] les.  II.	Establezcan causales de exclusión de socios o para ejercer derechos de separación, de retiro, o bien, para amortizar acciones, en adición a lo dispuesto en la Ley General de Sociedades Mercantiles, así como el precio o las bases para su determinación.  III.	Permitan emitir acciones distint ||| [Art.15 · high · prevista_en] denamiento legal para las sociedades anónimas bursátiles; de lo contrario, quedarán sujetos al régimen de organización, funciones y responsabilidades previsto en la Ley General de Sociedades Mercantiles.  Las sociedades anónimas promotoras de inversión que adopten el régimen señalado en este precept","[Art.90 · medium · direct_mention] personas que otorguen la escritura o póliza correspondiente, o por suscripción pública, en cuyo caso se estará a lo establecido en el artículo 11 de la Ley del Mercado de Valores. Artículo reformado DOF 13-06-2014 ||| [Art.260 · medium · direct_mention] ción en dichas sociedades mercantiles les permite tener el control de la sociedad o de su administración, en términos del artículo 2, fracción III de la Ley del Mercado de Valores.  Los ingresos totales anuales de una sociedad por acciones simplificada no podrá rebasar de $7,678,849.94. En caso de r"
constitucion-politica-de-los-estados-unidos-mexicanos,CONSTITUCIÓN Política de los Estados Unidos Mexicanos,CPEUM,ley-organica-del-congreso-general-de-los-estados-unidos-mexicanos,LEY Orgánica del Congreso General de los Estados Unidos Mexicanos,LOCG,constitucional,administrativo,False,5,40,"[Art.93 · high · conformidad] un término no mayor a 15 días naturales a partir de su recepción. Párrafo adicionado DOF 15-08-2008  El ejercicio de estas atribuciones se realizará de conformidad con la Ley del Congreso y sus reglamentos. Párrafo adicionado DOF 15-08-2008 Artículo reformado DOF 31-01-1974  Capítulo IV Del Poder Ju ||| [Art.35 · medium · direct_mention] s que establezca la ley; Fracción adicionada DOF 09-08-2012  VII.	Iniciar leyes, en los términos y con los requisitos que señalen esta Constitución y la Ley del Congreso. El Instituto Nacional Electoral tendrá las facultades que en esta materia le otorgue la ley; Fracción adicionada DOF 09-08-2012.  ||| [Art.69 · medium · ley_y_reglamentos] los Secretarios de Estado y a los directores de las entidades paraestatales, quienes comparecerán y rendirán informes bajo protesta de decir verdad. La Ley del Congreso y sus reglamentos regularán el ejercicio de esta facultad. Párrafo reformado DOF 10-02-2014  En el primer año de su mandato, en la ","[Art.2o · high · constitucion_full] ARTICULO 2o. 1. Cada Cámara se integrará por el número de miembros que señalan los artículos 52 y 56 de la Constitución Política de los Estados Unidos Mexicanos.  2. El ejercicio de las funciones de los diputados y los senadores durante tres años constituye una Legislatura. El año legislativo se com ||| [Art.4o · high · articulo_constitucional] olongarse sino hasta el quince de diciembre del mismo año, excepto cuando el Presidente de la República inicie su encargo en la fecha prevista por el artículo 83 constitucional, caso en el cual las sesiones podrán extenderse hasta el treinta y uno de diciembre de ese mismo año. El segundo periodo no ||| [Art.8o · high · articulo_constitucional] 8o. 1. Para la realización de la sesión conjunta de las Cámaras, se requiere el quórum que para cada una de ellas se dispone en el primer párrafo del artículo 63 constitucional."
ley-de-instituciones-de-credito,LEY de Instituciones de Crédito,LIC,ley-de-proteccion-al-ahorro-bancario,LEY de Protección al Ahorro Bancario,LPAB,financiero,financiero,True,26,8,"[Art.27 · high · prevista_en] n organizada y operada por el Instituto para la Protección al Ahorro Bancario que mantenga dicho Instituto serán consideradas Bienes para los efectos previstos en la Ley de Protección al Ahorro Bancario. Artículo adicionado DOF 06-07-2006 ||| [Art.57 · high · a_que_refiere] que se documenten las operaciones referidas, se señale expresamente a la o las personas que tendrán derecho al pago de las obligaciones garantizadas a que se refiere la Ley de Protección al Ahorro Bancario. Párrafo reformado DOF 10-01-2014  Asimismo, los clientes de las instituciones de crédito podr ||| [Art.108 · high · a_que_refiere] fracciones I y II del artículo 46 de esta Ley, se señale expresamente a la o las personas que tienen derecho al pago de las obligaciones garantizadas a que se refiere la Ley de Protección al Ahorro Bancario, y  IV.	Multa de 20,000 a 100,000 días de salario a las instituciones de banca múltiple que n","[Art.5o · high · a_que_refiere] por:  I. Instituto, al Instituto para la Protección al Ahorro Bancario;  II.	Institución, en singular o plural, a las Instituciones de banca múltiple a que se refiere la Ley de Instituciones de Crédito;  III.	Comisión, a la Comisión Nacional Bancaria y de Valores;  IV.	Junta de Gobierno, a la junta  ||| [Art.1o · medium · direct_mention] Esta Ley es de orden público e interés social y reglamenta las disposiciones constitucionales conducentes.  Se aplicarán supletoriamente a esta Ley, la Ley de Instituciones de Crédito, la Ley Federal de las Entidades Paraestatales, el Código de Comercio y la Ley Federal de Procedimiento Administrati ||| [Art.6o · medium · direct_mention] de esta Ley, se considerarán obligaciones garantizadas los depósitos, préstamos y créditos a que se refieren las fracciones I y II del artículo 46 de la Ley de Instituciones de Crédito.  Las Instituciones tienen la obligación de informar a las personas usuarias de sus servicios sobre el tipo y monto"
codigo-civil-federal,CÓDIGO Civil Federal,CCF,codigo-nacional-de-procedimientos-civiles-y-familiares,CÓDIGO Nacional de Procedimientos Civiles y Familiares,CNPCF,civil,penal,False,23,10,"[Art.51 · high · lo_previsto] dquirido por los mexicanos fuera de la República, serán bastantes las constancias que los interesados presenten de los actos relativos, sujetándose a lo previsto en el Código Nacional de Procedimientos Civiles y Familiares, y siempre que se registren en la Oficina que corresponda de la Ciudad de Méx ||| [Art.282 · high · conformidad] do DOF 09-01-1954, 31-12-1974, 27-12-1983, 30-12-1997  I. (Se deroga). Fracción derogada DOF 31-12-1974  II.	Proceder a la separación de los cónyuges de conformidad con el Código Nacional de Procedimientos Civiles y Familiares; Fracción reformada DOF 09-01-1954, 31-12-1974, 14-11-2025  III. Señalar  ||| [Art.416 · high · lo_previsto] uarda y custodia de los menores. En caso de desacuerdo, el Juez de lo Familiar resolverá lo conducente oyendo al Ministerio Público, sin perjuicio de lo previsto en el Código Nacional de Procedimientos Civiles y Familiares. Párrafo reformado DOF 14-11-2025  En este supuesto, con base en el interés s","[Art.19 · high · lo_dispuesto] rse los bienes que están fuera del comercio, los géneros no determinados al entablarse la demanda, las cosas unidas a otras por vía de accesión según lo dispuesto por el Código Civil, ni los bienes muebles pérdidas o robadas que una tercera persona haya adquirido de buena fe en almoneda, o de comerc ||| [Art.207 · high · senalada_en] Registral o cualquier otra institución análoga según la Entidad Federativa de que se trate, para su inscripción preventiva, la cual tendrá el efecto señalado en el Código Civil y la Ley Registral de la Entidad Federativa correspondiente. En caso de negativa sin causa justificada a la inscripción del ||| [Art.520 · high · a_que_refiere] Igualmente, la acción que intente la persona arrendataria para exigir a la arrendadora, el derecho de preferencia y el pago de los daños y perjuicios a que se refiere el Código Civil correspondiente se sujetará a lo dispuesto en este Título."
ley-del-seguro-social,LEY del Seguro Social,LSS,ley-federal-del-trabajo,LEY Federal del Trabajo,LFT,seguridad-social,trabajo,False,20,10,"[Art.5 · high · en_los_terminos] III. Instituto: el Instituto Mexicano del Seguro Social;  IV. Patrones, patrón o persona empleadora: la persona física o moral que tenga ese carácter en los términos de la Ley Federal del Trabajo; Fracción reformada DOF 16-11-2022  V. Trabajadores o trabajador: la persona física que la Ley Federal d ||| [Art.15 · high · establecida_en] Artículo 15 A. La contratación de servicios especializados o la ejecución de obras especializadas deberán cumplir con las condiciones y requisitos establecidos en la Ley Federal del Trabajo.  La persona física o moral que contrate la prestación de servicios o la ejecución de obras con otra persona f ||| [Art.15 · high · establecida_en] ial para la prestación de servicios especializados o la ejecución de obras especializadas.  Para la verificación del cumplimiento de las obligaciones establecidas en la Ley Federal del Trabajo y en el presente ordenamiento, el Instituto y la Secretaría del Trabajo y Previsión Social, deberán celebra","[Art.141 · high · en_los_terminos] uientes:  I. En los casos de incapacidad total permanente, de incapacidad parcial permanente, cuando ésta sea del 50% o más; de invalidez definitiva, en los términos de la Ley del Seguro Social; de jubilación; o de muerte del trabajador, se entregará el total de los depósitos constituidos, a él o su ||| [Art.141 · high · establecida_en] F 22-06-2018 Fracción reformada DOF 13-01-1986  II. Cuando la persona trabajadora deje de estar sujeto a una relación de trabajo y cuente con la edad establecida en la Ley del Seguro Social y la Ley del Instituto del Fondo Nacional de la Vivienda para los Trabajadores, tendrá derecho a que se le hag ||| [Art.145 · high · en_los_terminos] mite de su cancelación del crédito ante el Instituto cuantas veces le resulte necesario, siempre que no se revoque la determinación de su incapacidad en los términos de la Ley del Seguro Social. Párrafo adicionado DOF 21-02-2025 Artículo reformado DOF 24-04-1972, 13-01-1986"
constitucion-politica-de-los-estados-unidos-mexicanos,CONSTITUCIÓN Política de los Estados Unidos Mexicanos,CPEUM,ley-federal-del-trabajo,LEY Federal del Trabajo,LFT,constitucional,trabajo,False,1,23,"[Art.3o · medium · direct_mention] co como del administrativo, se normarán por el apartado A del artículo 123 de esta Constitución, en los términos y con las modalidades que establezca la Ley Federal del Trabajo conforme a las características propias de un trabajo especial, de manera que concuerden con la autonomía, la libertad de cá","[Art.132 · high · articulo_constitucional] iata inferior, los puestos de nueva creación, las vacantes definitivas y las temporales que deban cubrirse;  XII.- Establecer y sostener las escuelas Artículo 123 Constitucional, de conformidad con lo que dispongan las leyes y la Secretaría de Educación Pública;  XIII.- Colaborar con las Autoridades ||| [Art.590-A · high · articulo_constitucional] Laboral las siguientes atribuciones:  I. Realizar en materia federal la función conciliadora a que se refiere el párrafo cuarto de la fracción XX del artículo 123 constitucional;  II. Llevar el registro de todos los contratos colectivos de trabajo, reglamentos interiores de trabajo y de las organiza ||| [Art.590-B · high · constitucion_full] ación que deberán agotar los trabajadores y patrones, antes de acudir a los Tribunales, conforme lo establece el párrafo quinto de la fracción XX del artículo 123, apartado A, de la Constitución Política de los Estados Unidos Mexicanos.  Además, será competente para operar el registro de todos los c"
ley-de-fondos-de-inversion,LEY de Fondos de Inversión,LFI,ley-del-mercado-de-valores,LEY del Mercado de Valores,LMV,financiero,financiero,True,22,2,"[Art.2 · high · a_que_refiere] o la ejecución de operaciones en una sociedad o en las personas morales que esta controle, y  XII.	Registro Nacional: Al Registro Nacional de Valores a que se refiere la Ley del Mercado de Valores.  Los términos antes señalados podrán utilizarse en singular o en plural sin que por ello deba entender ||| [Art.5 · high · conforme_dispuesto] ación de las acciones representativas de su capital social ofreciéndolas a persona indeterminada, a través de servicios de intermediación financiera, conforme a lo dispuesto en la Ley del Mercado de Valores y en esta Ley.  Las acciones representativas del capital social de los fondos de inversión se ||| [Art.7 · high · establecida_en] su patrimonio, a menos que sus acciones se coticen en una bolsa de valores, supuesto en el cual se ajustarán en la recompra de acciones propias a lo establecido en la Ley del Mercado de Valores.  La Comisión establecerá, mediante disposiciones de carácter general, categorías de fondos de inversión p","[Art.70 · medium · direct_mention] n el mercado de valores, según corresponda. Asimismo, en el Registro se inscribirán los fondos de inversión constituidos y organizados en términos de la Ley de Fondos de Inversión. Artículo reformado DOF 10-01-2014 ||| [Art.225 · medium · direct_mention] ercantiles, podrán solicitar a la Comisión autorización para actuar como socio fundador de fondos de inversión a los que se refiere el artículo 30 de la Ley de Fondos de Inversión.  Los asesores en inversiones que obtengan la autorización a que se refiere el párrafo anterior, podrán proporcionar a d"
ley-general-de-instituciones-y-procedimientos-electorales,LEY General de Instituciones y Procedimientos Electorales,LGIPE,ley-general-de-partidos-politicos,LEY General de Partidos Políticos,LGPP,electoral,electoral,True,13,8,"[Art.12 · high · regulada_por] nos mexicanos.  2. El derecho de asociación de los partidos políticos en los procesos electorales a cargos de elección popular federal o local estará regulado por la Ley General de Partidos Políticos. Independientemente del tipo de elección, convenio de coalición y términos precisados en el mismo, c ||| [Art.44 · high · en_los_terminos] n los partidos políticos nacionales, así como sobre los acuerdos de participación que efectúen las agrupaciones políticas con los partidos políticos, en los términos de la Ley General de Partidos Políticos;  j) Vigilar que las actividades de los partidos políticos nacionales y las agrupaciones polít ||| [Art.55 · high · a_que_refiere] tucionalidad notificada para efectos legales el 23-06-2023 y publicada DOF 24-11-2023  n)	Integrar el Libro de Registro de partidos políticos locales a que se refiere la Ley General de Partidos Políticos;  ñ)	[Integrar los informes sobre el registro de candidaturas que realicen para cada elección lo","[Art.6 · high · lo_dispuesto] Artículo 6. 1. En lo no previsto por esta Ley se estará a lo dispuesto por la Ley General de Instituciones y Procedimientos Electorales.  CAPÍTULO II De la Distribución de Competencias en Materia de Partidos Políticos ||| [Art.49 · high · prevista_en] do en el artículo 41 de la Constitución, corresponde al Instituto la administración de los tiempos del Estado para fines electorales, en los términos previstos en la Ley General de Instituciones y Procedimientos Electorales.  TÍTULO QUINTO DEL FINANCIAMIENTO DE LOS PARTIDOS POLÍTICOS  CAPÍTULO I Del ||| [Art.4 · medium · direct_mention] ;  g) Ley General de Acceso: La Ley General de Acceso de las Mujeres a una Vida Libre de Violencia; Inciso adicionado DOF 13-04-2020  h) Ley General: La Ley General de Instituciones y Procedimientos Electorales; Inciso recorrido DOF 13-04-2020  i) Organismos Públicos Locales: Los organismos públicos"
